amount,velocity_1m,avg_amount_1m,merchant_diversity_1m,is_fraud
1728.1,69,6510.32,4,False
1912.05,58,9096.14,3,False
1826.55,64,4818.91,4,False
3474.61,70,6466.95,4,False
911.18,59,8957.41,3,False
1479.31,60,3686.81,3,False
4623.39,71,6440.99,4,False
4941.6,65,4820.79,4,False
2641.25,60,8852.14,3,False
1559.35,57,8170.66,4,False
3694.29,72,6402.84,4,False
885.21,61,8721.53,3,False
2544.0,73,6349.98,4,False
2180.93,61,3662.12,3,False
6095.82,58,8134.89,4,False
1403.96,62,8603.51,3,False
2267.62,74,6294.81,4,False
90532.44,63,9903.97,3,True
5482.91,75,6283.98,4,False
6789.45,76,6290.63,4,False
1822.06,62,3632.44,3,False
2637.84,59,8041.72,4,False
1271.61,77,6225.45,4,False
824.28,64,9762.1,3,False
1490.6,78,6164.75,4,False
5050.54,79,6150.65,4,False
793.03,65,9624.11,3,False
1876.73,60,7938.97,4,False
1649.46,66,9503.28,3,False
1084.19,67,9377.63,3,False
31697.27,68,9705.86,3,True
1195.08,69,9582.51,3,False
2184.09,66,4780.84,4,False
1450.77,63,3597.81,3,False
2656.61,64,3583.1,3,False
1046.76,70,9460.57,3,False
5190.15,80,6138.64,4,False
2455.88,71,9361.91,3,False
2145.29,65,3560.98,3,False
1609.53,67,4733.51,4,False
3800.82,61,7871.13,4,False
3504.61,68,4715.44,4,False
724.98,72,9241.96,3,False
5787.22,81,6134.3,4,False
2642.33,82,6091.72,4,False
2441.52,73,9148.8,3,False
2938.73,66,3551.56,3,False
3916.72,69,4703.86,4,False
2684.35,83,6050.66,4,False
5871.77,70,4720.55,4,False
2658.47,67,3538.23,3,False
2239.18,74,9055.43,3,False
2762.78,75,8971.53,3,False
6671.76,84,6058.06,4,False
5213.5,62,7828.27,4,False
2686.5,68,3525.7,3,False
1168.1,69,3491.53,3,False
1297.46,76,8870.55,3,False
1988.46,70,3470.06,3,False
1372.84,71,3440.52,3,False
6435.28,71,4744.7,4,False
5506.72,72,4755.28,4,False
6544.01,73,4779.78,4,False
1257.87,85,6001.58,4,False
7054.09,63,7815.98,4,False
2252.78,77,8784.61,3,False
1428.08,64,7716.17,4,False
2370.5,72,3425.66,3,False
2106.15,74,4743.65,4,False
2007.96,78,8697.73,3,False
2568.68,73,3413.92,3,False
2043.31,79,8613.49,3,False
7972.6,65,7720.11,4,False
2382.65,80,8535.61,3,False
2671.08,81,8463.21,3,False
2596.44,82,8391.66,3,False
4447.93,75,4739.71,4,False
992.93,74,3381.21,3,False
1918.18,66,7632.2,4,False
2753.37,83,8323.73,3,False
6643.67,67,7617.45,4,False
4093.56,86,5979.4,4,False
2744.56,75,3372.72,3,False
7872.95,68,7621.21,4,False
3306.56,76,4720.85,4,False
2169.04,84,8250.46,3,False
670.96,85,8161.29,3,False
5676.35,69,7593.02,4,False
5112.92,77,4725.95,4,False
4328.01,78,4720.84,4,False
7544.28,79,4756.58,4,False
6152.78,70,7572.44,4,False
36514.24,80,5153.55,5,True
6250.15,87,5982.51,4,False
7832.26,71,7576.1,4,False
6388.77,81,5168.8,5,False
2624.4,82,5137.77,5,False
1363.73,83,5092.3,5,False
1943.32,86,8088.99,3,False
7762.83,88,6002.74,4,False
1162.89,84,5045.53,5,False
1587.61,85,5004.84,5,False
574.99,87,8002.62,3,False
1699.84,76,3350.71,3,False
6944.88,72,7567.34,4,False
1730.9,86,4966.78,5,False
523.83,77,3313.99,3,False
2929.17,78,3309.06,3,False
1760.85,89,5955.08,4,False
1914.21,88,7933.43,3,False
4337.04,73,7523.09,4,False
2850.48,74,7459.94,4,False
7995.07,87,5001.58,5,False
560.53,79,3274.27,3,False
6849.24,88,5022.58,5,False
1466.06,89,7860.76,3,False
2063.37,90,5911.84,4,False
4736.19,91,5898.92,4,False
1606.5,90,7791.27,3,False
2190.19,80,3260.72,3,False
1420.86,89,4982.11,5,False
7992.18,90,5015.56,5,False
3486.76,92,5872.7,4,False
44542.5,91,5449.92,5,True
3063.04,93,5842.49,4,False
996.48,91,7716.6,3,False
1996.67,92,7654.43,3,False
939.35,81,3232.06,3,False
7050.91,92,5467.32,5,False
1683.15,75,7382.92,4,False
6138.92,93,5474.54,5,False
1954.03,82,3216.47,3,False
1480.2,76,7305.25,4,False
2379.12,94,5441.61,5,False
1409.18,93,7587.28,3,False
1112.45,95,5396.04,5,False
6175.78,77,7290.58,4,False
3467.43,96,5375.95,5,False
2669.14,94,5808.73,4,False
1043.38,78,7210.49,4,False
2259.6,83,3204.94,3,False
1132.23,94,7518.61,3,False
1987.58,84,3190.45,3,False
1322.92,97,5334.17,5,False
1441.43,95,7454.64,3,False
7201.06,79,7210.37,4,False
680.0,85,3160.92,3,False
7288.17,95,5824.3,4,False
1445.42,86,3140.97,3,False
1566.49,96,7393.3,3,False
1759.58,96,5781.96,4,False
6167.58,98,5342.67,5,False
53056.94,97,7864.06,3,True
4836.76,99,5337.56,5,False
2231.87,98,7806.59,3,False
41115.5,97,6146.22,4,True
1064.86,100,5294.83,5,False
7637.85,100,5327.36,5,False
5061.11,98,6135.15,4,False
2460.11,87,3133.14,3,False
2750.32,100,5333.42,5,False
6690.49,99,6140.76,4,False
1084.69,99,7738.69,3,False
6911.91,100,5353.76,5,False
1125.78,88,3110.33,3,False
6604.3,100,6145.4,4,False
52831.74,89,3669.0,3,True
2945.48,100,7690.76,3,False
3971.08,100,6118.39,4,False
1935.82,100,7275.35,3,False
6204.83,100,6151.04,4,False
1891.59,80,7143.89,4,False
2523.88,100,6442.42,3,False
2402.52,100,6449.37,3,False
7968.22,81,7154.06,4,False
6104.43,100,6192.82,4,False
6776.81,82,7149.46,4,False
2027.41,90,3650.76,3,False
3492.2,83,7105.4,4,False
553.72,100,6432.41,3,False
6420.18,100,6212.59,4,False
2739.19,100,6224.98,4,False
2361.48,100,6445.6,3,False
1517.3,100,6179.79,4,False
2598.22,100,6454.1,3,False
2476.12,100,6457.14,3,False
6021.1,84,7092.49,4,False
2598.94,91,3639.2,3,False
2872.75,100,5361.37,5,False
4253.68,100,6198.16,4,False
2191.6,92,3623.47,3,False
628.47,100,6444.56,3,False
3384.59,100,5321.45,5,False
1124.59,93,3596.6,3,False
3510.73,100,5308.53,5,False
2521.63,94,3585.16,3,False
1522.47,95,3563.45,3,False
699.58,96,3533.62,3,False
2541.09,100,5273.45,5,False
926.66,100,6438.55,3,False
2817.01,97,3526.23,3,False
5630.49,85,7075.29,4,False
2832.72,86,7025.96,4,False
2882.45,100,6204.09,4,False
84395.62,100,7269.85,3,True
5239.96,100,6244.64,4,False
1453.79,100,6778.3,3,False
2018.61,98,3510.84,3,False
4475.09,100,6270.73,4,False
2499.61,99,3500.63,3,False
3584.48,87,6986.4,4,False
5926.51,100,6275.69,4,False
1257.19,100,3478.2,3,False
2482.31,100,3485.49,3,False
2947.83,100,6794.45,3,False
2210.3,88,6932.13,4,False
2120.81,100,6225.24,4,False
1153.1,100,6791.35,3,False
2359.52,100,4760.72,4,False
5732.18,89,6918.65,4,False
58703.52,90,7494.03,4,True
6975.46,100,6263.06,4,False
5778.79,100,6293.43,4,False
2255.37,91,7436.47,4,False
6147.62,100,6324.71,4,False
5919.0,100,6304.11,4,False
4666.89,100,4775.55,4,False
2254.32,92,7380.14,4,False
6680.66,100,4802.89,4,False
1418.69,100,6785.21,3,False
27131.4,100,6517.92,4,True
5396.24,100,6524.44,4,False
3829.48,93,7341.96,4,False
3469.09,94,7300.76,4,False
3705.99,100,4820.22,4,False
7715.9,100,6559.83,4,False
2875.12,100,3488.03,3,False
2634.99,100,3494.11,3,False
2545.17,95,7250.7,4,False
782.51,100,3491.2,3,False
1255.46,100,3492.48,3,False
7191.29,100,6612.18,4,False
2933.95,96,7205.73,4,False
1155.55,100,6604.97,4,False
712.74,100,6783.47,3,False
1899.16,100,3483.8,3,False
2628.01,100,3482.93,3,False
1235.02,100,4793.52,4,False
2950.64,97,7161.87,4,False
33337.92,100,6918.73,4,True
5083.76,100,6897.06,4,False
4806.89,100,6876.43,4,False
5450.82,100,6898.15,4,False
2383.95,100,3496.66,3,False
6385.79,100,4835.88,4,False
4101.32,98,7130.64,4,False
1211.08,100,6777.61,3,False
4577.84,100,4841.15,4,False
1080.61,100,5972.35,3,False
7480.1,100,6945.53,4,False
1524.18,100,3485.72,3,False
1242.46,100,3473.2,3,False
2412.4,100,5978.73,3,False
1766.81,100,4845.79,4,False
1801.09,100,3464.66,3,False
6928.05,100,6942.62,4,False
1051.4,100,4830.77,4,False
5706.7,100,4836.52,4,False
2884.59,100,4805.11,4,False
2118.91,100,6946.69,4,False
6381.86,100,4835.56,4,False
1305.04,100,3463.24,3,False
6057.01,100,4842.93,4,False
879.08,100,5979.1,3,False
661.63,100,3441.68,3,False
5481.63,99,7113.98,4,False
1902.83,100,4803.46,4,False
2561.7,100,5981.14,3,False
1358.65,100,4797.01,4,False
947.55,100,5728.65,3,False
4601.63,100,7088.86,4,False
5040.39,100,6932.36,4,False
2583.28,100,3443.33,3,False
38911.68,100,3812.04,3,True
998.27,100,3805.62,3,False
3319.1,100,7076.34,4,False
6891.38,100,7092.04,4,False
1431.22,100,5726.35,3,False
6305.7,100,4818.37,4,False
2375.18,100,4824.83,4,False
5864.97,100,4831.89,4,False
5265.93,100,7129.33,4,False
949.18,100,5718.05,3,False
5136.51,100,7130.89,4,False
2211.1,100,5728.8,3,False
1084.84,100,5712.81,3,False
2466.11,100,6888.95,4,False
2311.35,100,5722.53,3,False
1711.52,100,5028.66,3,False
1008.05,100,6854.5,4,False
1106.66,100,5025.17,3,False
2538.18,100,6836.18,4,False
2629.86,100,5025.95,3,False
4765.84,100,7125.2,4,False
1337.85,100,4794.59,4,False
742.79,100,3807.58,3,False
5389.91,100,6870.82,4,False
7231.49,100,4826.05,4,False
2572.52,100,5045.77,3,False
5591.32,100,7103.21,4,False
1302.55,100,4766.55,4,False
1297.63,100,6807.94,4,False
1238.53,100,4710.5,4,False
5004.94,100,4714.25,4,False
6472.89,100,7106.46,4,False
2888.49,100,5064.51,3,False
3910.77,100,4703.19,4,False
7633.51,100,6856.52,4,False
3178.4,100,7109.82,4,False
1279.36,100,3798.97,3,False
1567.25,100,5058.29,3,False
2722.47,100,3799.51,3,False
5920.3,100,7144.08,4,False
1355.67,100,3794.56,3,False
2190.84,100,4708.75,4,False
2373.57,100,3809.12,3,False
893.24,100,5040.77,3,False
615.48,100,3809.85,3,False
5758.53,100,4708.03,4,False
3769.25,100,4710.74,4,False
4293.5,100,4696.74,4,False
7495.35,100,4711.57,4,False
6741.22,100,6899.76,4,False
1652.77,100,5035.78,3,False
679.51,100,5024.35,3,False
2046.08,100,3818.18,3,False
1621.72,100,5016.03,3,False
2150.11,100,3832.17,3,False
2496.06,100,6846.68,4,False
2525.29,100,3848.32,3,False
1245.65,100,6837.05,4,False
5653.82,100,6462.87,4,False
1331.12,100,5007.48,3,False
6431.89,100,6508.53,4,False
1788.47,100,5013.35,3,False
2965.32,100,5019.48,3,False
2636.32,100,5024.76,3,False
5429.5,100,6551.85,4,False
99224.99,100,4831.59,3,True
1761.15,100,6787.38,4,False
2013.91,100,4705.83,4,False
4035.88,100,6756.27,4,False
4930.72,100,6736.47,4,False
2804.77,100,6728.16,4,False
68518.97,100,5337.24,4,True
42701.63,100,5234.65,3,True
6806.91,100,6559.26,4,False
3376.2,100,6567.95,4,False
1245.23,100,5019.96,3,False
7126.81,100,6730.72,4,False
6714.44,100,5346.95,4,False
2806.73,100,5242.64,3,False
2221.03,100,5248.54,3,False
2652.61,100,5253.54,3,False
3101.55,100,6709.14,4,False
6707.73,100,5363.96,4,False
1312.04,100,5361.72,4,False
2350.54,100,5032.91,3,False
2774.66,100,5045.27,3,False
3408.72,100,5376.46,4,False
6669.3,100,6726.84,4,False
6979.35,100,6597.12,4,False
4555.59,100,6628.44,4,False
2337.42,100,6639.28,4,False
2521.0,100,5060.08,3,False
2539.01,100,5075.22,3,False
997.33,100,5242.62,3,False
5145.1,100,6759.33,4,False
1601.15,100,5243.15,3,False
2566.1,100,5262.31,3,False
1826.78,100,5082.54,3,False
7787.53,100,6649.02,4,False
1642.1,100,5252.78,3,False
2248.29,100,5256.06,3,False
4813.43,100,5362.16,4,False
5116.25,100,6737.43,4,False
7885.4,100,6703.27,4,False
4903.36,100,6739.43,4,False
4517.08,100,6723.93,4,False
4543.88,100,5345.38,4,False
5796.65,100,6735.04,4,False
2966.93,100,4776.16,3,False
1208.88,100,4765.26,3,False
2343.43,100,4762.88,3,False
54220.18,100,7220.91,4,True
2443.4,100,4775.46,3,False
5658.13,100,6734.86,4,False
1717.88,100,4766.03,3,False
2463.65,100,6735.29,4,False
90554.57,100,6659.2,4,True
1965.31,100,5325.41,4,False
1340.48,100,5069.75,3,False
4739.61,100,7193.12,4,False
2711.05,100,5087.85,3,False
1491.23,100,5075.61,3,False
1855.09,100,7172.32,4,False
2797.64,100,4772.85,3,False
1759.84,100,4767.62,3,False
3470.6,100,7154.76,4,False
7424.18,100,7175.23,4,False
2004.68,100,5066.26,3,False
1173.87,100,6611.87,4,False
2775.88,100,4767.02,3,False
1610.35,100,5070.41,3,False
1735.78,100,5312.14,4,False
5958.02,100,7161.41,4,False
1114.29,100,5055.44,3,False
2256.48,100,6582.63,4,False
1753.05,100,6542.82,4,False
2892.65,100,7135.18,4,False
3469.66,100,6514.77,4,False
1404.85,100,6494.11,4,False
807.53,100,4758.78,3,False
5755.5,100,5351.02,4,False
5648.23,100,5385.9,4,False
2331.07,100,4290.2,3,False
2226.23,100,4286.51,3,False
6756.32,100,7166.84,4,False
1117.97,100,4757.43,3,False
1542.45,100,4759.66,3,False
3779.27,100,7175.78,4,False
6535.47,100,5431.84,4,False
5825.29,100,7216.15,4,False
7233.25,100,6529.82,4,False
7753.43,100,5493.54,4,False
4130.7,100,5522.16,4,False
4764.87,100,7226.58,4,False
1737.88,100,5968.25,4,False
1557.46,100,4287.94,3,False
5587.48,100,7253.27,4,False
6202.88,100,5534.22,4,False
6332.89,100,5995.47,4,False
7300.28,100,7246.65,4,False
1707.31,100,4277.26,3,False
2568.48,100,4289.45,3,False
931.35,100,4114.02,3,False
2071.91,100,4116.83,3,False
4881.56,100,5547.62,4,False
2176.3,100,4118.1,3,False
2872.79,100,5983.16,4,False
2110.49,100,4291.44,3,False
2672.59,100,5512.4,4,False
5310.66,100,7286.05,4,False
1967.1,100,4302.0,3,False
2947.3,100,4139.59,3,False
777.83,100,4283.36,3,False
2329.2,100,7231.51,4,False
1212.61,100,4144.71,3,False
946.84,100,4283.98,3,False
3020.51,100,5971.97,4,False
3111.82,100,5493.94,4,False
529.53,100,4275.24,3,False
1321.89,100,5968.03,4,False
7071.34,100,7232.86,4,False
4316.71,100,5502.32,4,False
2302.43,100,5451.89,4,False
6252.05,100,7231.39,4,False
7247.03,100,5508.96,4,False
60763.84,100,7251.13,4,True
1833.29,100,3388.24,3,False
2155.3,100,5478.97,4,False
2647.1,100,4146.47,3,False
4743.29,100,5482.93,4,False
5398.29,100,7280.46,4,False
5204.29,100,5507.05,4,False
4483.41,100,5970.08,4,False
3928.79,100,5961.56,4,False
905.56,100,4130.26,3,False
4903.12,100,7303.34,4,False
1073.82,100,3390.74,3,False
2381.94,100,4136.26,3,False
6674.47,100,5498.07,4,False
549.56,100,4128.98,3,False
2520.18,100,3408.01,3,False
992.2,100,4114.37,3,False
3836.56,100,5522.17,4,False
7294.81,100,5994.17,4,False
31551.96,100,5819.42,5,True
1986.3,100,3411.38,3,False
5396.21,100,5823.97,5,False
4634.29,100,5848.47,5,False
7208.64,100,7355.98,4,False
2904.02,100,3429.58,3,False
1038.39,100,5976.68,4,False
2606.75,100,4128.27,3,False
2423.88,100,4144.55,3,False
2828.09,100,5860.66,5,False
2708.28,100,3139.69,3,False
2812.13,100,4146.73,3,False
51492.96,100,6468.35,4,True
3032.36,100,7309.52,4,False
1872.73,100,4150.66,3,False
2043.66,100,4149.29,3,False
76841.96,100,7162.08,4,True
7877.61,100,7223.57,4,False
2143.68,100,3149.17,3,False
2084.85,100,5846.46,5,False
2994.95,100,4161.02,3,False
1530.51,100,5822.6,5,False
32207.18,100,3460.78,3,True
713.68,100,4153.65,3,False
2146.19,100,7299.9,4,False
1565.31,100,7204.48,4,False
5869.01,100,7216.94,4,False
2464.15,100,4151.72,3,False
1246.97,100,5776.35,5,False
2879.03,100,7208.78,4,False
2826.96,100,3464.49,3,False
6758.12,100,5779.58,5,False
1968.18,100,4149.95,3,False
2955.06,100,4150.12,3,False
3007.2,100,7255.09,4,False
2765.86,100,4151.19,3,False
5043.69,100,5774.95,5,False
1472.69,100,7208.66,4,False
1669.43,100,5726.2,5,False
2494.76,100,3482.19,3,False
788.92,100,4132.21,3,False
3408.03,100,7193.18,4,False
1009.51,100,7193.44,4,False
1787.91,100,4138.41,3,False
1706.06,100,5722.2,5,False
4201.64,100,7212.78,4,False
3927.04,100,6875.39,4,False
1293.19,100,7170.88,4,False
7140.5,100,7174.39,4,False
1937.09,100,4137.9,3,False
1413.74,100,4138.31,3,False
1362.66,100,4128.23,3,False
2360.04,100,4126.14,3,False
6208.4,100,5739.8,5,False
6429.46,100,7225.97,4,False
860.23,100,3466.37,3,False
1311.94,100,4129.33,3,False
680.55,100,3450.79,3,False
2518.84,100,6824.14,4,False
1490.04,100,7225.96,4,False
6093.12,100,7236.39,4,False
5803.31,100,7242.52,4,False
1352.77,100,3436.69,3,False
1871.3,100,6789.94,4,False
2566.13,100,7210.31,4,False
1048.64,100,4112.37,3,False
2258.6,100,3446.3,3,False
2341.5,100,4118.79,3,False
4110.91,100,7225.0,4,False
2882.58,100,3452.6,3,False
3582.54,100,7233.98,4,False
5455.88,100,5761.3,5,False
2796.48,100,4141.52,3,False
2655.11,100,4138.78,3,False
2358.77,100,4156.76,3,False
6656.69,100,7233.83,4,False
1977.63,100,5729.94,5,False
1735.0,100,5704.01,5,False
1066.76,100,3443.19,3,False
6035.42,100,6796.88,4,False
2582.77,100,3448.58,3,False
2360.7,100,3448.36,3,False
87047.72,100,4292.13,3,True
